SCF Energies (Hartree):
Step 1: -3780.173515
Step 2: -3780.173520
Step 3: -3780.173260
Step 4: -3780.173528
Step 5: -3780.173613
Step 6: -3780.173633
Step 7: -3780.173635
Step 8: -3780.173647
Step 9: -3780.173657
Step 10: -3780.173657
Step 11: -3779.826312
Step 12: -3780.203894
Step 13: -3780.173657
Step 14: -3780.173657
